ORDER,CITY,STATE,DATE TIME,UV VALUE
1,Phoenix,AZ,Jul/11/2024 04 AM,0
2,Phoenix,AZ,Jul/11/2024 05 AM,0
3,Phoenix,AZ,Jul/11/2024 06 AM,0
4,Phoenix,AZ,Jul/11/2024 07 AM,1
5,Phoenix,AZ,Jul/11/2024 08 AM,2
6,Phoenix,AZ,Jul/11/2024 09 AM,4
7,Phoenix,AZ,Jul/11/2024 10 AM,6
8,Phoenix,AZ,Jul/11/2024 11 AM,8
9,Phoenix,AZ,Jul/11/2024 12 PM,10
10,Phoenix,AZ,Jul/11/2024 01 PM,10
11,Phoenix,AZ,Jul/11/2024 02 PM,8
12,Phoenix,AZ,Jul/11/2024 03 PM,6
13,Phoenix,AZ,Jul/11/2024 04 PM,3
14,Phoenix,AZ,Jul/11/2024 05 PM,2
15,Phoenix,AZ,Jul/11/2024 06 PM,1
16,Phoenix,AZ,Jul/11/2024 07 PM,0
17,Phoenix,AZ,Jul/11/2024 08 PM,0
18,Phoenix,AZ,Jul/11/2024 09 PM,0
19,Phoenix,AZ,Jul/11/2024 10 PM,0
20,Phoenix,AZ,Jul/11/2024 11 PM,0
21,Phoenix,AZ,Jul/12/2024 12 AM,0
